Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
14977468,Transnational Protests and the Media,Simon Cottle,"Cottle, Simon",,"=""1433109867""","=""9781433109867""",2,2.00,"Peter Lang Inc., International Academic Publishers",Hardcover,352,2011,2011,2014/05/07,2014/03/20,ba,ba (#16),read,,,,1,,,0,,,,,
1051334,Alternative Media,Chris Atton,"Atton, Chris",,"=""0761967710""","=""9780761967712""",2,3.71,Sage Publications Ltd,Paperback,,2001,2001,2014/05/07,2014/03/20,ba,ba (#17),read,,,,1,,,0,,,,,
7482172,"New Media, Old News: Journalism & Democracy in the Digital Age",Natalie Fenton,"Fenton, Natalie",,"=""1847875742""","=""9781847875747""",2,3.44,Sage Publications (CA),Paperback,220,2009,2009,2014/05/06,2014/05/06,ba,ba (#25),read,,,,1,,,0,,,,,
11042214,Freedom,Jonathan Franzen,"Franzen, Jonathan",,"=""0312576463""","=""9780312576462""",1,3.76,Picador,Paperback,597,2011,2010,2014/05/06,2014/03/23,time-wasted,time-wasted (#24),read,,,,1,,,0,,,,,
18061138,Global Journalism: Theory and Practice,Peter Berglez,"Berglez, Peter",,"=""1433110318""","=""9781433110313""",1,3.44,"Peter Lang Inc., International Academic Publishers",Hardcover,156,2013,2013,2014/05/05,2014/05/05,ba,ba (#23),read,,,,1,,,0,,,,,
12737395,Media and Social Justice,Sue Curry Jansen,"Jansen, Sue Curry","Jefferson Pooley, Lora Taub-Pervizpour, Cees J. Hamelink, DeeDee Halleck, Nick Couldry","=""0230108636""","=""9780230108639""",2,3.20,Palgrave Macmillan,Hardcover,284,2011,2011,2014/05/05,2014/05/05,ba,ba (#23),read,,,,1,,,0,,,,,
5787786,Defiant Publics: The Unprecedented Reach of the Global Citizen,Daniel Drache,"Drache, Daniel",,"=""0745631797""","=""9780745631790""",2,3.50,Polity Press,Paperback,198,2008,2008,2014/05/04,2014/05/04,ba,ba (#22),read,,,,1,,,0,,,,,
201796,Jean Baudrillard: From Marxism to Postmodernism and Beyond,Douglas Kellner,"Kellner, Douglas",,"=""0804717575""","=""9780804717571""",3,3.55,Stanford University Press,Paperback,246,1989,1989,2014/05/03,2014/02/12,,,read,,,,1,,,0,,,,,
3675668,The Alternative Media Handbook,Kate Coyer,"Coyer, Kate",,"=""0415359651""","=""9780415359658""",2,3.58,Routledge,Paperback,352,2008,2007,2014/04/28,2014/04/25,ba,ba (#19),read,,,,1,,,0,,,,,
1118689,Voices of Revolution: The Dissident Press in America,Rodger Streitmatter,"Streitmatter, Rodger",,"=""0231122497""","=""9780231122498""",3,4.08,Columbia University Press,Paperback,335,2001,2001,2014/04/25,2014/04/25,ba,ba (#1),read,,,,1,,,0,,,,,
205762,"People's Movements, People's Press: The Journalism of Social Justice Movements",Bob Ostertag,"Ostertag, Bob",,"=""0807061662""","=""9780807061664""",4,3.75,Beacon Press,Paperback,240,2007,2006,2014/04/25,2014/04/25,ba,ba (#2),read,,,,1,,,0,,,,,
8694389,"Deathless (Leningrad Diptych, #1)",Catherynne M. Valente,"Valente, Catherynne M.",,"=""0765326302""","=""9780765326300""",0,4.00,Tor Books,Hardcover,352,2011,2011,,2014/04/23,to-read,to-read (#178),to-read,,,,0,,,0,,,,,
349650,One-Dimensional Man: Studies in the Ideology of Advanced Industrial Society,Herbert Marcuse,"Marcuse, Herbert",,"=""0807014176""","=""9780807014172""",4,3.98,Beacon Press,Paperback,320,1991,1964,2014/04/23,2013/11/26,ba,ba (#14),read,,,,1,,,0,,,,,
37328,The Consumer Society: Myths and Structures,Jean Baudrillard,"Baudrillard, Jean","Chris     Turner, George Ritzer","=""0761956921""","=""9780761956921""",2,4.11,Sage Publications Ltd,Paperback,224,1998,1970,2014/04/23,2014/01/27,ba,ba (#12),read,,,,1,,,0,,,,,
19041343,Society Of The Spectacle,Guy Debord,"Debord, Guy",,"=""""","=""9781617508301""",4,4.02,Bread and Circuses,eBook Kindle,114,2012,1967,2014/04/23,2014/01/27,"favorites, ba","favorites (#3), ba (#11)",read,,,,1,,,0,,,,,
1051335,"An Alternative Internet: Radical Media, Politics and Creativity",Chris Atton,"Atton, Chris",,"=""0748617701""","=""9780748617708""",4,3.91,Edinburgh University Press,Paperback,,2004,2004,2014/04/21,2014/03/20,ba,ba (#8),read,,,,1,,,0,,,,,
10497431,"@ is for Activism: Dissent, Resistance and Rebellion in a Digital Culture",Joss Hands,"Hands, Joss",,"=""0745327001""","=""9780745327006""",3,3.19,Pluto Press,Paperback,224,2011,2010,2014/04/21,2014/04/14,ba,ba (#3),read,,,,1,,,0,,,,,
6082736,Migration Without Borders: Essays on the Free Movement of People,Antoine Pécoud,"Pécoud, Antoine",Paul De Guchteneire,"=""1845453468""","=""9781845453466""",2,3.29,Berghahn Books,Hardcover,308,2007,2007,2014/04/16,2014/02/09,,,read,,,,1,,,0,,,,,
2124105,Тютюн,Димитър Димов,"Димов, Димитър",,"=""9545280433""","=""9789545280436""",3,4.40,Труд,Paperback,616,1992,1951,2011/05/13,2010/12/03,,,read,,,,1,,,0,,,,,
1345625,Beginner's Dutch,Lesley Gilbert,"Gilbert, Lesley",,"=""0844237124""","=""9780844237121""",2,3.50,Teach Yourself,Paperback,186,1997,1997,2014/04/10,2013/12/18,,,read,,,,1,,,0,,,,,
3290306,The New Left: The Anti-Industrial Revolution,Ayn Rand,"Rand, Ayn",,"=""""","=""""",1,3.93,Signet Non-Fiction,Paperback,239,1975,1970,2014/04/10,2014/03/25,ba,ba (#5),read,,,,1,,,0,,,,,
9076333,Migration Reader: Exploring Politics and Policies,Anthony Messina,"Messina, Anthony",Gallya Lahav,"=""1588263142""","=""9781588263148""",3,3.00,Lynne Rienner Publishers,Hardcover,699,2005,2005,2014/04/10,2014/01/28,,,read,,,,1,,,0,,,,,
6919727,Anarchism and Its Aspirations,Cindy Milstein,"Milstein, Cindy",,"=""1849350019""","=""9781849350013""",4,4.03,AK Press,Paperback,145,2010,2009,2014/04/07,2014/03/28,ba,ba (#4),read,,,,1,,,0,,,,,
17072386,Those Damned Immigrants: America's Hysteria Over Undocumented Immigration,Ediberto Roman,"Roman, Ediberto",Michael A. Olivas,"=""0814776574""","=""9780814776575""",3,3.33,New York University Press,Hardcover,186,2013,2013,2014/03/31,2014/03/31,,,read,,,,1,,,0,,,,,
